id,brand,model,year,price
206,Mitsubishi,Mirage,2024,23124
207,Renault,Logan,2023,13871
208,Audi,Q7,2012,5000
209,Fiat,Mobi,2011,5000
210,Volvo,V90,2023,33823
211,Toyota,Corolla,2013,5000
212,Lexus,RX,2023,39635
213,Fiat,500,2011,5000
214,Volvo,V60,2022,33145
215,BMW,X5,2010,5000
216,Lexus,NX,2024,39864
217,Infiniti,M35,2010,5000
218,Fiat,Argo,2023,15300
219,Lexus,GX,2020,30088
220,Nissan,Titan,2013,5000
221,Chevrolet,Colorado,2022,20852
222,Jeep,Grand Cherokee,2013,5000
223,Nissan,Rogue,2019,13625
224,Hyundai,Tucson,2011,5000
225,Volvo,S60,2020,27845
226,Nissan,Frontier,2019,13247
227,Mazda,CX-5,2019,13756
228,Citroën,SpaceTourer,2020,10513
229,Mitsubishi,Pajero,2015,6653
230,Nissan,Pathfinder,2014,5000
231,BMW,X7,2010,5000
232,Mercedes-Benz,GLE,2020,35919
233,Volkswagen,Beetle,2017,9600
234,Acura,Integra,2013,5000
235,Toyota,Prius,2011,5000
236,Kia,Sportage,2017,8929
237,Citroën,C5 Aircross,2022,13088
238,Mazda,Mazda6,2014,5000
239,Ford,Ranger,2018,11905
240,Hyundai,Veloster,2021,14530
241,Peugeot,Partner,2014,5000
242,Acura,RLX,2017,16107
243,Honda,Odyssey,2010,5000
244,BMW,X3,2011,5000
245,Dodge,Grand Caravan,2015,8655
246,Nissan,Maxima,2013,5000
247,Hyundai,Palisade,2017,9085
248,Land Rover,Range Rover,2012,5000
249,Land Rover,Evoque,2019,34943
250,Mitsubishi,Lancer,2021,17310
251,Citroën,C5 Aircross,2014,5000
252,Honda,Pilot,2018,11041
253,Land Rover,Defender,2023,54238
254,Hyundai,Venue,2011,5000
255,Dodge,Dart,2019,19307
256,Lexus,NX,2019,28074
257,Lexus,ES,2022,39159
258,Renault,Logan,2022,13988
259,Fiat,Mobi,2015,5000
260,Nissan,Versa,2013,5000
261,Fiat,Ducato,2014,5000
262,Citroën,Berlingo,2015,5000
263,Mazda,MX-5 Miata,2020,14027
264,Toyota,Sienna,2017,10197
265,Hyundai,Tucson,2018,10724
266,Mercedes-Benz,A-Class,2020,38387
267,Kia,Telluride,2022,15037
268,Fiat,Cronos,2018,6965
269,BMW,330i,2020,28101
270,Chevrolet,Colorado,2018,13062
271,Fiat,Strada,2016,5000
272,Subaru,XV,2016,9765
273,Renault,Captur,2015,5000
274,Nissan,Pathfinder,2016,7321
275,Nissan,Maxima,2018,11874
276,Lexus,GS,2021,35009
277,Audi,Q5,2018,27419
278,Ford,Escape,2024,20804
279,Citroën,DS3,2013,5000
280,Chevrolet,Traverse,2013,5000
281,Mercedes-Benz,C-Class,2021,36222
282,Audi,A3,2024,46484
283,Kia,Rio,2012,5000
284,Toyota,Hilux,2018,11283
285,Hyundai,Tucson,2014,5000
286,BMW,X7,2014,9061
287,Land Rover,LR4,2010,5000
288,Kia,Sportage,2024,18851
289,Lexus,RC,2024,44267
290,Dodge,Charger,2020,21688
291,BMW,530i,2015,13030
292,Fiat,Cronos,2024,16644
293,Infiniti,G35,2013,5000
294,Audi,A8,2013,6227
295,Jeep,Gladiator,2023,25196
296,Hyundai,Santa Fe,2012,5000
297,BMW,M3,2022,34791
298,Volkswagen,Golf,2015,5640
299,Audi,R8,2010,5000
300,Mitsubishi,L200,2022,19808
301,Fiat,Strada,2014,5000
302,Dodge,Grand Caravan,2024,26980
303,Land Rover,LR4,2024,62679
304,Land Rover,LR4,2018,27469
305,Subaru,Forester,2020,19065
306,Ford,Fusion,2021,20030
307,Citroën,DS4,2017,7915
308,BMW,M3,2023,43109
309,Kia,Soul,2022,14646
310,Renault,Fluence,2019,10869
311,Lexus,UX,2016,16277
312,Peugeot,208,2017,7005
313,Audi,Q3,2011,5000
314,Kia,Carnival,2012,5000
315,Chevrolet,Suburban,2017,9874
316,Fiat,Argo,2023,12054
317,Hyundai,Venue,2022,18337
318,Chevrolet,Silverado,2024,24808
319,Volvo,C40,2014,8883
320,Dodge,Magnum,2015,8718
321,Volvo,XC40,2021,31252
322,Infiniti,Q70,2018,19620
323,Acura,RSX,2024,33651
324,Audi,R8,2022,38751
325,Chevrolet,Tahoe,2023,20242
326,Peugeot,Partner,2016,5934
327,Acura,MDX,2021,24594
328,Nissan,Kicks,2018,11316
329,Citroën,DS4,2023,14363
330,Audi,Q8,2019,28621
331,Citroën,Jumpy,2015,5000
332,Renault,Fluence,2020,9878
333,Infiniti,G37,2023,40245
334,Audi,A4,2015,14963
335,Fiat,Cronos,2021,9860
336,Renault,Duster,2019,9935
337,Mazda,CX-9,2015,5269
338,Subaru,Outback,2014,5703
339,Land Rover,Velar,2021,51126
340,Subaru,XV,2011,5000
341,Dodge,Nitro,2014,6119
342,Honda,HR-V,2020,17857
343,Ford,Focus,2018,13335
344,Citroën,DS4,2020,11182
345,BMW,320i,2023,42061
346,Hyundai,Sonata,2023,18803
347,Chevrolet,Colorado,2012,5000
348,BMW,Z4,2015,11948
349,Mazda,CX-9,2016,6902
350,Toyota,Sienna,2014,5000
351,Jeep,Liberty,2023,28136
352,Renault,Duster,2019,10146
353,Volvo,V60,2018,18730
354,Renault,Megane,2024,16839
355,BMW,740i,2011,5000
356,Mitsubishi,Lancer,2020,12955
357,Honda,Fit,2014,5000
358,Land Rover,Defender,2020,40321
359,Kia,Soul,2012,5000
360,Renault,Kwid,2019,9539
361,Nissan,Murano,2015,5285
362,Fiat,Mobi,2017,5809
363,Volvo,XC40,2015,11596
364,Toyota,Avalon,2017,12001
365,BMW,Z4,2023,47244
366,Jeep,Cherokee,2018,14644
367,Infiniti,Q50,2022,33737
368,Citroën,Berlingo,2017,8332
369,Nissan,Titan,2015,5995
370,Infiniti,Q70,2016,16458
371,Chevrolet,Cruze,2010,5000
372,Ford,Focus,2016,7221
373,Land Rover,Discovery Sport,2021,43373
374,Ford,Mustang,2016,8474
375,Volkswagen,Tiguan,2022,19347
376,Land Rover,Discovery,2013,7763
377,Kia,Carnival,2017,9059
378,Land Rover,Velar,2018,35166
379,Citroën,Berlingo,2020,10514
380,Acura,NSX,2015,9410
381,Subaru,WRX,2024,29065
382,Renault,Megane,2020,9786
383,Subaru,Forester,2014,5000
384,Peugeot,408,2023,14631
385,Acura,Integra,2021,28987
386,Nissan,Altima,2018,10051
387,Honda,HR-V,2014,5463
388,Land Rover,Range Rover Sport,2018,28959
389,Audi,Q3,2024,48457
390,Mazda,RX-8,2018,11247
391,Mercedes-Benz,S-Class,2010,5000
392,Chevrolet,Traverse,2016,7123
393,Hyundai,Tucson,2018,10340
394,Hyundai,Kona,2016,7430
395,Volvo,V90,2021,34020
396,Toyota,Tacoma,2017,10708
397,Fiat,Mobi,2021,12614
398,Fiat,Cronos,2024,14548
399,Jeep,Wrangler,2013,5000
400,Mercedes-Benz,GLA,2010,5000
401,Volvo,V40,2018,19263
402,Dodge,Ram 1500,2013,5000
403,Land Rover,Range Rover,2021,49808
404,Land Rover,Discovery,2017,27809
405,Peugeot,5008,2010,5000
406,Nissan,Kicks,2012,5000
407,Mercedes-Benz,C-Class,2022,36429
408,Ford,Explorer,2019,12959
409,Infiniti,G35,2023,39988
410,Audi,A8,2011,5000
411,Kia,Rio,2020,11710
412,BMW,320i,2016,14929
413,Honda,Pilot,2013,5000
414,Land Rover,LR2,2011,5000
415,Jeep,Patriot,2015,9578
416,Mercedes-Benz,GLA,2012,5000
417,Mercedes-Benz,GLE,2017,19368
418,Fiat,Cronos,2021,10497
419,Acura,NSX,2011,5000
420,Kia,Rio,2021,14017
421,Peugeot,Partner,2010,5000
422,Jeep,Wagoneer,2018,15356
423,Audi,Q3,2021,36707
424,Mazda,Mazda3,2021,19095
425,Fiat,Punto,2022,12391
426,Mercedes-Benz,CLA,2015,14606
427,Mitsubishi,Mirage,2017,9000
428,Infiniti,M35,2019,22434
429,Ford,F-150,2012,5000
430,Kia,Stinger,2016,6629
431,Jeep,Wrangler,2016,11384
432,Land Rover,Range Rover,2011,5000
433,Jeep,Gladiator,2020,20118
434,Chevrolet,Cruze,2024,21271
435,Kia,Seltos,2019,10571
436,Lexus,LS,2014,8869
437,Hyundai,Elantra,2021,14071
438,Land Rover,Freelander,2018,34654
439,Ford,Mustang,2021,18936
440,Infiniti,G37,2013,5000
441,Fiat,Mobi,2024,14398
442,Mercedes-Benz,GLE,2010,5000
443,Mitsubishi,Montero,2015,5382
444,Chevrolet,Colorado,2024,21136
445,Mazda,CX-50,2015,5774
446,Renault,Oroch,2020,9903
447,Citroën,C4 Cactus,2014,5000
448,Mitsubishi,Eclipse Cross,2018,11371
449,Volkswagen,Jetta,2023,21651
450,Acura,TLX,2019,25027
451,Subaru,XV,2015,8299
452,Fiat,500,2012,5000
453,Peugeot,408,2010,5000
454,Lexus,GS,2019,27125
455,Mitsubishi,Montero,2022,18783
456,Honda,Fit,2014,5000
457,Hyundai,Palisade,2016,6551
458,Renault,Megane,2022,14389
459,BMW,740i,2012,5000
460,Audi,A4,2013,6117
461,Acura,NSX,2015,11497
462,Lexus,NX,2019,24096
463,BMW,530i,2012,5000
464,Peugeot,408,2024,18223
465,Chevrolet,Silverado,2012,5000
466,Fiat,Toro,2012,5000
467,Dodge,Magnum,2015,8176
468,Citroën,C-Elysee,2016,6445
469,Toyota,Prius,2017,11428
470,Mazda,CX-3,2018,12489
471,Audi,Q3,2012,5000
472,Audi,A4,2021,32117
473,Dodge,Magnum,2023,22850
474,Fiat,Toro,2012,5000
475,Kia,Sportage,2012,5000
476,BMW,530i,2014,10085
477,Toyota,Sienna,2013,5000
478,Citroën,Jumpy,2010,5000
479,BMW,530i,2023,37719
480,Mercedes-Benz,CLA,2019,25922
481,Toyota,RAV4,2022,21558
482,Kia,Sorento,2021,12977
483,Nissan,Murano,2013,5000
484,BMW,330i,2019,27442
485,Volkswagen,Taos,2019,10852
486,Hyundai,Venue,2017,8372
487,Mazda,Mazda2,2015,6867
488,BMW,330i,2017,19749
489,Volkswagen,Golf,2017,10358
490,Hyundai,Elantra,2019,13109
491,Volvo,S40,2011,5000
492,Chevrolet,Equinox,2010,5000
493,Land Rover,Velar,2011,5000
494,Nissan,Pathfinder,2021,13978
495,Mitsubishi,Lancer,2015,5253
496,Nissan,Murano,2010,5000
497,Audi,A4,2013,6036
498,Subaru,Impreza,2022,19441
499,Infiniti,Q60,2023,34418
500,Toyota,Yaris,2022,18075
501,Subaru,Legacy,2017,12671
502,Mercedes-Benz,CLA,2023,47027
503,Audi,A6,2014,8942
504,Volvo,XC40,2010,5000
505,Renault,Koleos,2012,5000
506,Mercedes-Benz,GLE,2017,25129
507,Volvo,V90,2023,32855
508,Kia,Forte,2018,7979
509,Mercedes-Benz,CLA,2016,16267
510,Dodge,Dart,2024,30601
511,BMW,Z4,2014,10252
512,Jeep,Liberty,2015,8951
513,Volvo,S40,2011,5000
514,Mitsubishi,Eclipse Cross,2018,9867
515,Citroën,C4,2021,13507
516,Dodge,Viper,2010,5000
517,BMW,740i,2015,13622
518,Subaru,XV,2019,17249
519,Subaru,BRZ,2011,5000
520,Renault,Fluence,2013,5000
521,Dodge,Journey,2013,5000
522,Acura,ILX,2016,12190
523,Jeep,Patriot,2014,6313
524,Fiat,Uno,2014,5000
525,BMW,530i,2015,13484
526,Ford,Fusion,2011,5000
527,Volvo,V90,2024,35532
528,Toyota,Corolla,2010,5000
529,Subaru,BRZ,2014,5531
530,Mercedes-Benz,GLA,2013,5445
531,Volkswagen,Jetta,2010,5000
532,Ford,Edge,2013,5000
533,Land Rover,Evoque,2024,66895
534,Jeep,Renegade,2019,17465
535,Fiat,Punto,2023,11878
536,Acura,RDX,2024,34016
537,Audi,A6,2023,38949
538,Nissan,Frontier,2024,17980
539,BMW,320i,2013,5795
540,Dodge,Viper,2019,17849
541,Infiniti,FX35,2014,7785
542,Dodge,Durango,2014,5707
543,Chevrolet,Blazer,2011,5000
544,Toyota,4Runner,2021,16610
545,Kia,Rio,2023,14437
546,Infiniti,G35,2024,40797
547,Renault,Logan,2022,13362
548,Renault,Fluence,2022,12958
549,Chevrolet,Malibu,2010,5000
550,Mitsubishi,Galant,2013,5000
551,Subaru,Forester,2017,12477
552,Mercedes-Benz,C-Class,2021,37581
553,BMW,Z4,2011,5000
554,Peugeot,Boxer,2010,5000
555,Ford,Fusion,2011,5000
556,Mazda,Mazda2,2016,7501
557,Land Rover,Evoque,2012,5000
558,Land Rover,Range Rover,2016,21894
559,Ford,Escape,2024,25820
560,Renault,Fluence,2010,5000
561,Audi,Q3,2019,31323
562,Chevrolet,Equinox,2019,14024
563,Audi,TT,2024,44288
564,Volvo,V90,2013,5000
565,Nissan,Kicks,2019,11649
566,Toyota,Prius,2021,20998
567,Volvo,XC40,2019,21047
568,Honda,Civic,2024,26297
569,Ford,Escape,2010,5000
570,Jeep,Wrangler,2013,5000
571,Honda,Civic,2016,7473
572,Subaru,Legacy,2022,24513
573,Volkswagen,Tiguan,2013,5000
574,Kia,Forte,2012,5000
575,Hyundai,Tucson,2010,5000
576,Land Rover,LR2,2016,18493
577,BMW,X1,2013,5620
578,Fiat,Palio,2015,5000
579,Chevrolet,Suburban,2013,5000
580,Kia,Sorento,2016,5799
581,Ford,Focus,2023,21062
582,Mazda,Mazda2,2011,5000
583,Mercedes-Benz,GLS,2015,14140
584,Jeep,Cherokee,2018,14739
585,Volkswagen,Jetta,2023,17080
586,Kia,Forte,2014,5000
587,Infiniti,G37,2015,10621
588,Volvo,XC40,2022,29739
589,Mazda,Mazda2,2010,5000
590,Volvo,XC90,2015,10544
591,Citroën,SpaceTourer,2022,14569
592,Lexus,NX,2023,39107
593,Nissan,Frontier,2012,5000
594,Ford,Mustang,2024,21154
595,Acura,NSX,2010,5000
596,Mercedes-Benz,C-Class,2012,5000
597,Peugeot,Partner,2011,5000
598,Acura,Legend,2013,5000
599,Nissan,Kicks,2010,5000
600,Citroën,C-Elysee,2015,5112
601,BMW,330i,2016,15433
602,Volkswagen,Tiguan,2015,5999
603,Ford,Ranger,2022,21155
604,Land Rover,LR2,2022,48342
605,Hyundai,Palisade,2010,5000
606,Audi,A6,2022,42708
607,Ford,F-150,2013,5000
608,Mazda,CX-5,2021,16824
609,Citroën,Berlingo,2013,5000
610,Subaru,Crosstrek,2010,5000
611,Volvo,XC40,2011,5000
612,Volvo,S40,2018,19770
613,Renault,Clio,2015,5000
614,Dodge,Charger,2021,23234
615,Subaru,XV,2016,9172
616,Chevrolet,Suburban,2016,7918
617,Mitsubishi,Outlander,2017,10136
618,Kia,Forte,2018,8934
619,Toyota,4Runner,2020,17634
620,Land Rover,Freelander,2020,39837
621,Toyota,4Runner,2021,21598
622,Kia,Seltos,2018,8123
623,Acura,ILX,2012,5000
624,Mazda,MX-5 Miata,2023,17940
625,Subaru,Forester,2017,12561
626,Peugeot,508,2013,5000
627,Mitsubishi,Montero,2021,16351
628,Mazda,MX-5 Miata,2018,13099
629,Volvo,S60,2013,5000
630,Mitsubishi,ASX,2020,12207
631,Fiat,Ducato,2024,13496
632,Lexus,GS,2015,12911
633,Renault,Sandero,2020,11960
634,Citroën,Jumpy,2019,10241
635,Peugeot,Boxer,2022,13810
636,Kia,Soul,2018,9871
637,Renault,Clio,2011,5000
638,BMW,740i,2021,34314
639,Acura,RLX,2019,24175
640,Nissan,Versa,2013,5000
641,Infiniti,Q50,2018,18118
642,Renault,Logan,2020,10741
643,Volkswagen,Arteon,2010,5000
644,Audi,R8,2015,13333
645,Mercedes-Benz,A-Class,2022,46787
646,Citroën,DS3,2021,13565
647,Volvo,XC90,2023,40250
648,Lexus,GS,2010,5000
649,Audi,TT,2021,39012
650,Fiat,Mobi,2024,15225
651,Kia,Sorento,2017,7313
652,Volvo,C40,2016,12079
653,Audi,Q7,2020,30510
654,Volvo,V60,2024,36133
655,Chevrolet,Cruze,2024,23372
656,Nissan,Kicks,2019,13787
657,Chevrolet,Equinox,2022,20729
658,Renault,Koleos,2012,5000
659,Nissan,Murano,2015,5000
660,Ford,F-150,2024,24839
661,Infiniti,Q70,2024,35935
662,Renault,Koleos,2017,6749
663,Mitsubishi,Galant,2014,5000
664,Citroën,Berlingo,2014,5000
665,Chevrolet,Tahoe,2021,14950
666,Kia,Stinger,2023,18499
667,BMW,X7,2017,20810
668,Citroën,DS4,2020,10261
669,Jeep,Wagoneer,2024,32809
670,BMW,X1,2011,5000
671,Mercedes-Benz,CLA,2023,40438
672,Mitsubishi,3000GT,2024,18571
673,Nissan,Titan,2013,5000
674,Toyota,RAV4,2013,5000
675,Toyota,Corolla,2012,5000
676,Dodge,Magnum,2010,5000
677,Volkswagen,Arteon,2024,18503
678,Subaru,Forester,2021,17339
679,Land Rover,Range Rover,2015,16273
680,Audi,Q7,2013,5293
681,Infiniti,G37,2014,8239
682,Chevrolet,Traverse,2021,16074
683,Renault,Kwid,2019,9726
684,Toyota,4Runner,2012,5000
685,Mazda,Mazda2,2019,12996
686,Mitsubishi,Outlander,2021,17850
687,Toyota,Camry,2018,13288
688,Chevrolet,Colorado,2013,5000
689,Nissan,Rogue,2021,14267
690,Nissan,Pathfinder,2010,5000
691,Lexus,LS,2016,14472
692,Land Rover,Evoque,2011,5000
693,Peugeot,408,2015,5000
694,Chevrolet,Silverado,2014,5000
695,Peugeot,208,2010,5000
696,Nissan,Rogue,2021,16864
697,Toyota,Yaris,2010,5000
698,Mercedes-Benz,GLS,2014,9280
699,Volkswagen,Arteon,2018,10511
700,Lexus,RX,2010,5000
701,Mitsubishi,ASX,2010,5000
702,Mitsubishi,Mirage,2019,13104
703,Infiniti,QX60,2021,31350
704,Mitsubishi,Galant,2020,14187
705,Volkswagen,Golf,2012,5000
706,Mitsubishi,Mirage,2013,5000
707,Peugeot,Boxer,2016,6116
708,Citroën,Jumpy,2011,5000
709,Jeep,Gladiator,2022,25497
710,Mazda,MX-5 Miata,2022,18496
711,Audi,Q3,2010,5000
712,Land Rover,Range Rover Sport,2020,44497
713,Honda,CR-V,2024,24234
714,Fiat,Uno,2014,5000
715,Subaru,Legacy,2023,26598
716,Renault,Fluence,2022,12717
717,Subaru,XV,2018,14090
718,Audi,R8,2021,30853
719,Toyota,Camry,2020,18232
720,Infiniti,G37,2017,15443
721,Chevrolet,Cruze,2017,9785
722,Ford,Mustang,2022,19937
723,Nissan,Sentra,2010,5000
724,Hyundai,Palisade,2022,15542
725,Mercedes-Benz,AMG GT,2014,9698
726,Volkswagen,ID.4,2013,5000
727,Citroën,DS3,2023,15999
728,Volvo,S90,2016,15762
729,Audi,TT,2021,35247
730,Land Rover,LR2,2014,13651
731,Acura,TSX,2010,5000
732,Land Rover,Defender,2017,23197
733,Hyundai,Venue,2017,8775
734,BMW,X1,2013,6027
735,Subaru,Forester,2024,29180
736,Volvo,S40,2015,10204
737,Acura,RDX,2020,22986
738,Audi,TT,2020,36680
739,Mercedes-Benz,A-Class,2016,15424
740,Renault,Oroch,2018,7487
741,Honda,CR-V,2019,14649
742,Audi,TT,2021,39389
743,Dodge,Magnum,2016,9754
744,Subaru,WRX,2012,5000
745,Audi,Q7,2024,46970
746,Nissan,Versa,2017,9827
747,Mercedes-Benz,C-Class,2019,34488
748,Renault,Megane,2015,5000
749,Audi,A6,2022,39423
750,Jeep,Patriot,2020,17609
751,Citroën,C5 Aircross,2011,5000
752,Mercedes-Benz,A-Class,2011,5000
753,Subaru,Forester,2014,5000
754,Renault,Oroch,2016,5541
755,Dodge,Ram 1500,2010,5000
756,Acura,NSX,2024,39987
757,Mitsubishi,Montero,2010,5000
758,Mazda,CX-50,2019,14504
759,Mercedes-Benz,GLA,2013,6510
760,BMW,Z4,2014,9413
761,Mazda,Mazda6,2020,16274
762,Acura,ILX,2011,5000
763,Mitsubishi,Pajero,2010,5000
764,Volvo,XC40,2014,7355
765,Kia,Forte,2019,11849
766,Citroën,C3,2018,8222
767,Hyundai,Accent,2022,13970
768,Subaru,Crosstrek,2015,8221
769,Subaru,WRX,2012,5000
770,Infiniti,G37,2020,23931
771,Renault,Clio,2015,5000
772,Peugeot,Expert,2022,15416
773,Audi,Q8,2024,53177
774,Land Rover,LR4,2015,19039
775,Honda,Odyssey,2012,5000
776,Citroën,C4,2020,12245
777,Peugeot,5008,2017,8103
778,Mitsubishi,ASX,2019,13565
779,Peugeot,3008,2021,11864
780,Citroën,Jumpy,2015,5000
781,Honda,Insight,2023,21585
782,Citroën,SpaceTourer,2019,9845
783,Honda,Insight,2017,11892
784,BMW,M3,2020,28271
